id,from_id,date
9921,583673784,20.01.2021
9925,225238578,20.01.2021
9930,613469205,20.01.2021
9932,519708903,20.01.2021
9939,353038763,20.01.2021
9945,625379416,21.01.2021
9951,244247962,21.01.2021
9964,203552860,21.01.2021
9966,328490295,21.01.2021
9976,70115226,22.01.2021
10008,265821161,23.01.2021
9898,1674846,20.01.2021
9899,394977883,20.01.2021
9900,9686065,20.01.2021
9906,264498014,20.01.2021
9980,44201113,22.01.2021
9993,8669101,22.01.2021
9893,142399202,19.01.2021
9883,74029482,19.01.2021
9884,8475787,19.01.2021
9888,414631220,19.01.2021
9896,525837908,19.01.2021
9901,266890472,20.01.2021
9989,283757310,22.01.2021
9864,143272117,18.01.2021
9868,628697308,18.01.2021
9872,343240612,18.01.2021
9873,484889201,18.01.2021
9874,324904748,18.01.2021
9875,258887631,18.01.2021
9882,573835673,19.01.2021
9892,21705031,19.01.2021
9908,140609592,20.01.2021
9857,512563632,18.01.2021
9858,11017762,18.01.2021
9859,331082882,18.01.2021
9854,237142751,18.01.2021
9861,7801315,18.01.2021
9847,124275199,17.01.2021
9848,67928,17.01.2021
9849,223102248,17.01.2021
9851,225780819,17.01.2021
9827,36113426,16.01.2021
9834,5808667,16.01.2021
9830,488402180,16.01.2021
9842,174546672,17.01.2021
9801,512754730,15.01.2021
9809,577744271,15.01.2021
9841,392135186,17.01.2021
9843,14620459,17.01.2021
9781,560667001,15.01.2021
9783,225780819,15.01.2021
9785,579104724,15.01.2021
9787,888702,15.01.2021
9788,601128820,15.01.2021
9789,538159545,15.01.2021
9792,253676618,15.01.2021
9794,416897702,15.01.2021
9810,577744271,15.01.2021
9835,266890472,16.01.2021
9838,211092446,16.01.2021
9764,112123934,15.01.2021
9765,496576931,15.01.2021
9768,325410347,15.01.2021
9773,220822884,15.01.2021
9776,43945485,15.01.2021
9777,94958338,15.01.2021
9782,569401715,15.01.2021
9746,318474530,14.01.2021
9747,499592984,14.01.2021
9748,109727766,14.01.2021
9728,419920139,13.01.2021
9732,66213990,13.01.2021
9733,21705031,13.01.2021
9760,217590352,14.01.2021
9723,281986614,13.01.2021
9724,271930848,13.01.2021
9713,156841391,12.01.2021
9714,618118881,12.01.2021
9708,324734782,12.01.2021
9709,1674846,12.01.2021
9710,192281182,12.01.2021
9721,505255001,13.01.2021
9740,620052375,13.01.2021
9684,85059803,12.01.2021
9706,697477,12.01.2021
9726,3759860,13.01.2021
9665,54411856,11.01.2021
9666,203678914,11.01.2021
9668,557977779,11.01.2021
9670,184551896,11.01.2021
9671,171917834,11.01.2021
9679,32975485,12.01.2021
9655,483771142,09.01.2021
9656,513239285,10.01.2021
9636,171797458,08.01.2021
9637,603371016,08.01.2021
9638,514220090,08.01.2021
9639,38874105,08.01.2021
9644,107714014,08.01.2021
9631,16714668,08.01.2021
9634,43945485,08.01.2021
9647,310977549,08.01.2021
9623,147907296,07.01.2021
9600,544387284,05.01.2021
9580,112784555,04.01.2021
9581,426756439,04.01.2021
9582,513239285,04.01.2021
9584,43852058,04.01.2021
9608,21705031,05.01.2021
